"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-11-26","MI","A+",9170,8761,0,409,,,4063,0,,843,6040130,0,,,6040130,,464,352433,324779,0,0,,,,,422707,152267,,0,6392563,0,359142,,,,,0,6462837,0
"2020-11-25","MI","A+",9170,8761,76,409,,,4063,0,,843,6040130,53499,,,6040130,,464,352433,324779,4687,0,,,,,422707,152267,,0,6392563,58186,359142,,,,,0,6462837,61805
"2020-11-24","MI","A+",9094,8688,154,406,,,4087,0,,865,5986631,64059,,,5986631,,445,347746,320506,6782,0,,,,,414401,152267,,0,6334377,70841,358188,,,,,0,6401032,73541
"2020-11-23","MI","A+",8940,8543,65,397,,,4047,0,,872,5922572,87340,,,5922572,,455,340964,314216,11943,0,,,,,404919,152267,,0,6263536,99283,356370,,,,,0,6327491,100523
"2020-11-22","MI","A+",8875,8478,0,397,,,3887,0,,835,5835232,0,,,5835232,,403,329021,302705,0,0,,,,,391736,152267,,0,6164253,0,354957,,,,,0,6226968,0
"2020-11-21","MI","A+",8875,8478,101,397,,,3887,0,,835,5835232,79727,,,5835232,,403,329021,302705,7840,0,,,,,391736,152267,,0,6164253,87567,354957,,,,,0,6226968,89883
"2020-11-20","MI","A+",8774,8377,57,397,,,3887,0,,835,5755505,73619,,,5755505,,403,321181,295177,10140,0,,,,,381580,138862,,0,6076686,83759,353571,,,,,0,6137085,85362
"2020-11-19","MI","A+",8717,8324,144,393,,,3824,0,,843,5681886,62253,,,5681886,,400,311041,285398,7983,0,,,,,369837,138862,,0,5992927,70236,352058,,,,,0,6051723,71228
"2020-11-18","MI","A+",8573,8190,62,383,,,3792,0,,809,5619633,50686,,,5619633,,396,303058,277806,6218,0,,,,,360862,138862,,0,5922691,56904,350177,,,,,0,5980495,58769
"2020-11-17","MI","A+",8511,8128,80,383,,,3752,0,,776,5568947,49431,,,5568947,,367,296840,272034,7886,0,,,,,352779,138862,,0,5865787,57317,349416,,,,,0,5921726,57670
